@relation ships


@attribute displacement integer
@attribute lenght integer
@attribute beam integer
@attribute draft integer
@attribute speed integer
@attribute range integer
@attribute crew integer
@attribute class {Carrier,Cruiser,Destroyer,Submarine,Battleship}

@data
36500,855,103,29,31,8000,1630,'Carrier'
22534,745,72,25,34,9700,1595,'Carrier'
14000,576,85,22,20,4370,272,'Carrier'
22352,800,95,28,31,7600,1600,'Carrier'
27100,872,147,29,33,20000,3448,'Carrier'
27100,872,147,28,33,20000,2600,'Carrier'
22501,599,116,31,21,7000,865,'Carrier'
11400,632,68,25,29,11810,785,'Carrier'
18116,591,74,25,21,6500,850,'Carrier'
22000,667,115,27,24,2780,791,'Carrier'
19800,809,110,26,32,12500,2217,'Carrier'
27100,872,148,34,33,2000,2600,'Carrier'
30530,781,103,31,30,11000,2200,'Carrier'
27100,872,108,34,33,20000,2631,'Carrier'
22450,786,88,25,31,6000,1218,'Carrier'
25370,787,91,28,31,5860,1931,'Carrier'
13400,695,80,23,25,12000,1300,'Carrier'
33550,861,103,24,35,8000,2026,'Carrier'
10850,598,70,19,25,6000,664,'Carrier'
17300,746,73,26,34,10330,1103,'Carrier'
24150,722,87,27,25,11700,1224,'Carrier'
27100,872,147,34,33,20000,2600,'Carrier'
19900,761,83,28,32,12500,2919,'Carrier'
7590,552,59,20,25,8680,512,'Carrier'
23000,744,95,28,30,10700,1200,'Carrier'
30530,781,103,31,30,11000,1600,'Carrier'
24100,719,87,26,25,12251,1224,'Carrier'
38200,812,107,31,28,10000,1708,'Carrier'
13600,546,72,26,23,7000,829,'Carrier'
22534,745,72,25,34,9700,1595,'Carrier'
27100,872,147,28,33,20000,2600,'Carrier'
49000,888,106,24,34,10000,2122,'Carrier'
7800,512,65,22,19,10240,916,'Carrier'
11317,617,65,23,28,11000,948,'Carrier'
27100,888,147,28,33,20000,3448,'Carrier'
16700,708,64,22,26,8000,989,'Carrier'
10600,590,68,23,29,10000,934,'Carrier'
38746,880,106,24,34,10000,2122,'Carrier'
7800,512,65,22,19,10240,860,'Carrier'
7800,512,108,22,19,10240,860,'Carrier'
63000,873,131,35,27,10000,2400,'Carrier'
11443,674,60,22,28,7800,785,'Carrier'
26087,845,85,29,34,9700,1660,'Carrier'
15900,746,70,25,34,7750,1103,'Carrier'
29770,855,90,31,33,10000,1751,'Carrier'
18116,591,74,21,21,6500,747,'Carrier'
17150,746,72,28,34,8000,1595,'Carrier'
18116,591,74,25,21,6500,850,'Carrier'
29500,673,95,28,31,11000,2200,'Carrier'
7800,512,65,22,19,10240,916,'Carrier'
27100,872,148,34,33,20000,2600,'Carrier'
14700,688,81,20,29,12000,1800,'Carrier'
27100,872,147,28,33,20000,2600,'Carrier'
11443,674,60,21,28,7800,785,'Carrier'
29800,845,85,29,34,6588,1660,'Carrier'
12100,610,71,24,28,8900,1150,'Cruiser'
18200,676,70,25,32,8000,1600,'Cruiser'
12100,610,71,24,28,8900,1150,'Cruiser'
10000,611,66,20,31,8700,748,'Cruiser'
9850,669,68,20,35,8500,773,'Cruiser'
10240,630,68,21,31,2270,848,'Cruiser'
18208,675,70,19,32,8000,1600,'Cruiser'
13243,646,67,22,35,4460,725,'Cruiser'
10000,643,66,24,32,4500,773,'Cruiser'
9750,630,68,16,31,3100,700,'Cruiser'
10000,630,68,16,31,10400,679,'Cruiser'
4850,445,46,14,29,2300,462,'Cruiser'
4927,445,46,14,29,6700,469,'Cruiser'
12100,610,71,24,28,8900,1150,'Cruiser'
9850,633,66,21,32,9120,784,'Cruiser'
10035,610,66,16,31,12000,653,'Cruiser'
7249,595,57,17,33,3000,578,'Cruiser'
10000,643,66,24,32,4500,773,'Cruiser'
10000,627,62,21,34,4500,605,'Cruiser'
9750,605,65,20,29,5400,800,'Cruiser'
7102,512,47,19,30,6750,683,'Cruiser'
8390,575,58,17,32,10000,628,'Cruiser'
11508,600,67,23,32,4500,830,'Cruiser'
10000,643,66,24,32,4500,773,'Cruiser'
9150,595,51,18,34,7000,625,'Cruiser'
7600,587,57,18,34,7000,540,'Cruiser'
7600,587,57,17,31,7000,540,'Cruiser'
11900,600,67,23,32,4500,841,'Cruiser'
10980,662,68,21,36,8000,1200,'Cruiser'
5088,535,48,16,36,9000,438,'Cruiser'
9906,434,69,24,21,7000,648,'Cruiser'
9906,434,69,24,21,7000,648,'Cruiser'
7600,589,57,18,34,7000,540,'Cruiser'
6500,558,58,21,25,5000,572,'Cruiser'
8400,628,58,19,36,5590,812,'Cruiser'
8400,628,58,19,36,5590,812,'Cruiser'
8130,571,50,20,30,5200,820,'Cruiser'
7700,367,61,24,20,5500,560,'Cruiser'
5890,426,52,19,18,9000,315,'Cruiser'
5088,535,48,16,36,9000,438,'Cruiser'
7890,628,58,19,36,3750,872,'Cruiser'
5100,532,46,15,36,5000,439,'Cruiser'
5100,532,46,15,36,5000,439,'Cruiser'
5100,532,46,15,36,5000,439,'Cruiser'
8350,571,50,20,32,7300,850,'Cruiser'
7700,571,50,21,32,7300,850,'Cruiser'
7249,595,57,17,33,3000,578,'Cruiser'
8380,581,54,19,32,5700,850,'Cruiser'
9840,633,66,21,31,8000,852,'Cruiser'
8500,600,56,18,35,8000,920,'Cruiser'
7600,589,57,17,34,7000,540,'Cruiser'
8177,628,58,19,37,4880,963,'Cruiser'
9850,668,68,20,34,8000,921,'Cruiser'
8177,628,58,19,37,4880,963,'Cruiser'
7600,587,57,17,34,7000,540,'Cruiser'
10980,662,68,21,36,8000,773,'Cruiser'
8500,600,56,18,35,8000,920,'Cruiser'
13500,662,21,21,36,8000,773,'Cruiser'
5570,535,48,16,36,5000,438,'Cruiser'
5195,534,48,16,35,5000,452,'Cruiser'
5088,535,48,16,36,9000,438,'Cruiser'
7050,555,5,19,32,5730,680,'Cruiser'
2526,360,39,13,23,5000,340,'Cruiser'
6520,594,52,19,32,2400,896,'Cruiser'
8500,600,56,18,35,8000,920,'Cruiser'
5100,532,46,15,34,5000,439,'Cruiser'
8163,630,51,20,35,10600,782,'Cruiser'
8500,600,56,18,35,8000,920,'Cruiser'
11932,610,66,25,33,11000,1255,'Cruiser'
9100,586,65,15,32,10000,653,'Cruiser'
6830,555,56,16,32,7400,646,'Cruiser'
2383,360,39,13,21,5000,340,'Cruiser'
11730,600,67,23,33,4500,830,'Cruiser'
10000,610,66,24,32,10000,848,'Cruiser'
7249,595,57,21,33,3000,578,'Cruiser'
9300,643,59,18,36,12000,920,'Cruiser'
9300,643,59,18,36,12000,920,'Cruiser'
6652,571,49,18,35,6300,438,'Cruiser'
5195,418,47,16,35,5000,452,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
5791,475,45,15,36,7000,200,'Cruiser'
10000,643,66,24,32,4500,773,'Cruiser'
8500,649,66,19,35,8000,850,'Cruiser'
6830,562,56,19,32,7400,645,'Cruiser'
9850,669,68,21,34,8500,773,'Cruiser'
5100,532,46,15,36,5000,439,'Cruiser'
3948,468,40,13,34,5000,327,'Cruiser'
4011,468,40,13,33,5000,367,'Cruiser'
13110,646,67,22,35,4160,723,'Cruiser'
13110,646,67,22,35,4160,723,'Cruiser'
7890,628,58,19,36,3750,872,'Cruiser'
6758,571,50,19,35,6300,736,'Cruiser'
2460,344,39,13,20,5000,274,'Cruiser'
8300,575,57,20,32,10000,623,'Cruiser'
5659,534,48,16,36,6000,438,'Cruiser'
11870,600,67,23,33,4500,841,'Cruiser'
2750,346,43,15,20,4500,283,'Cruiser'
5886,580,52,18,34,6000,711,'Cruiser'
1370,323,32,12,35,4800,143,'Destroyer'
2050,376,40,14,38,6500,273,'Destroyer'
1559,350,33,11,38,2190,207,'Destroyer'
1620,350,33,10,38,2200,206,'Destroyer'
1780,388,34,11,38,5000,219,'Destroyer'
1620,350,33,10,38,2200,206,'Destroyer'
1961,388,36,12,35,5700,200,'Destroyer'
1620,350,33,10,38,2200,206,'Destroyer'
1140,289,35,12,21,4150,198,'Destroyer'
1620,350,33,10,38,2200,206,'Destroyer'
2395,348,36,13,35,6500,208,'Destroyer'
2050,377,40,18,35,6500,329,'Destroyer'
1620,350,33,10,38,2200,206,'Destroyer'
1620,350,33,10,38,2200,206,'Destroyer'
1620,350,33,10,38,2200,206,'Destroyer'
1140,289,35,10,19,6000,198,'Destroyer'
1620,350,33,10,38,2200,206,'Destroyer'
2050,376,40,14,38,6500,329,'Destroyer'
2050,376,40,18,35,6500,319,'Destroyer'
1620,350,33,10,38,2200,206,'Destroyer'
1620,350,33,10,38,2200,206,'Destroyer'
2050,377,40,18,35,6500,336,'Destroyer'
1860,341,36,13,38,6500,158,'Destroyer'
2924,376,40,14,38,6500,273,'Destroyer'
1140,289,35,12,21,4150,198,'Destroyer'
1140,289,35,11,19,4150,198,'Destroyer'
2250,341,36,13,38,6500,184,'Destroyer'
1140,289,35,12,19,4150,198,'Destroyer'
1350,329,33,13,35,6000,173,'Destroyer'
1147,263,29,11,21,1700,113,'Destroyer'
1065,259,29,11,21,1700,113,'Destroyer'
1065,263,29,11,21,1700,113,'Destroyer'
1065,259,29,11,28,1700,113,'Destroyer'
1028,249,29,11,28,1700,113,'Destroyer'
1147,263,29,11,28,1700,117,'Destroyer'
1147,263,29,11,28,1700,117,'Destroyer'
1028,249,29,11,28,1700,117,'Destroyer'
1400,306,37,14,24,4940,213,'Destroyer'
1620,350,33,10,38,2200,206,'Destroyer'
1370,323,33,12,36,5530,146,'Destroyer'
1620,350,33,10,38,2200,206,'Destroyer'
1140,289,35,12,21,4150,198,'Destroyer'
1559,350,33,11,38,2190,207,'Destroyer'
1620,350,33,10,38,2200,206,'Destroyer'
1630,348,36,12,37,6500,276,'Destroyer'
1860,341,36,13,38,6500,158,'Destroyer'
1975,374,37,11,39,3500,192,'Destroyer'
2033,389,35,12,35,5000,239,'Destroyer'
1600,348,36,13,35,6500,192,'Destroyer'
1500,342,36,12,38,6500,158,'Destroyer'
1500,341,35,11,35,6500,158,'Destroyer'
2050,376,40,14,36,6500,336,'Destroyer'
2050,376,40,18,35,6500,320,'Destroyer'
1604,351,35,9,38,3200,220,'Destroyer'
2924,376,40,14,38,6500,273,'Destroyer'
1422,336,30,10,35,3600,148,'Destroyer'
848,281,25,8,31,2400,110,'Destroyer'
1760,356,35,12,36,1050,218,'Destroyer'
2050,377,40,18,35,6500,336,'Destroyer'
1240,306,37,12,21,10800,216,'Destroyer'
2200,377,41,16,34,6500,336,'Destroyer'
1620,350,33,10,38,2200,206,'Destroyer'
2395,348,36,13,35,6500,208,'Destroyer'
2395,348,36,13,35,6500,208,'Destroyer'
1620,350,33,10,38,2200,206,'Destroyer'
1190,377,40,14,38,6500,273,'Destroyer'
2050,377,40,18,35,6500,336,'Destroyer'
1282,328,30,10,28,3500,211,'Destroyer'
1860,341,36,13,38,6500,158,'Destroyer'
1860,341,36,13,38,6500,158,'Destroyer'
2597,381,37,13,37,6500,194,'Destroyer'
1620,350,33,10,38,2200,206,'Destroyer'
1500,342,36,13,38,6500,200,'Destroyer'
1570,349,36,13,35,3660,192,'Destroyer'
2050,376,40,14,38,6500,273,'Destroyer'
2050,376,40,14,38,6500,273,'Destroyer'
2597,381,37,13,37,6500,194,'Destroyer'
2940,377,39,18,35,6500,320,'Destroyer'
2050,376,40,14,38,6500,273,'Destroyer'
2050,376,40,14,38,6500,273,'Destroyer'
1140,289,35,11,19,4150,198,'Destroyer'
2050,376,40,18,35,6500,329,'Destroyer'
1215,314,32,9,35,4900,114,'Destroyer'
2050,376,40,14,38,6500,273,'Destroyer'
2567,413,37,13,39,1400,250,'Destroyer'
2924,376,40,14,38,6500,273,'Destroyer'
1612,370,33,16,37,2640,236,'Destroyer'
2924,376,40,14,38,6500,273,'Destroyer'
1740,363,36,15,36,4675,170,'Destroyer'
1300,389,35,12,37,4000,239,'Destroyer'
2395,348,36,13,35,6500,208,'Destroyer'
1620,350,33,10,38,2200,206,'Destroyer'
1559,350,33,11,38,2190,207,'Destroyer'
1559,350,33,11,38,2190,207,'Destroyer'
2050,376,40,14,38,6500,273,'Destroyer'
2924,376,40,14,38,6500,273,'Destroyer'
1100,300,27,11,34,3500,110,'Destroyer'
1140,300,30,11,32,3500,134,'Destroyer'
2924,376,40,14,38,6500,273,'Destroyer'
2050,376,40,14,38,6500,273,'Destroyer'
1530,359,33,11,36,4000,212,'Destroyer'
1336,337,30,10,37,3600,154,'Destroyer'
2559,417,39,14,36,2600,336,'Destroyer'
2559,417,39,14,36,2600,336,'Destroyer'
2700,417,39,15,36,2950,316,'Destroyer'
2559,417,39,14,36,2600,336,'Destroyer'
2559,417,39,14,36,2600,336,'Destroyer'
2559,417,39,14,36,2600,336,'Destroyer'
1526,312,27,15,20,11000,60,'Submarine'
1526,312,27,15,20,11000,66,'Submarine'
1550,312,27,17,20,11000,66,'Submarine'
1526,312,27,17,20,11000,81,'Submarine'
1500,312,27,17,20,11000,82,'Submarine'
1550,312,27,17,20,11000,66,'Submarine'
1526,312,27,17,20,11000,81,'Submarine'
1526,312,27,17,20,11000,81,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
1550,312,27,17,20,11000,80,'Submarine'
1526,312,27,15,20,11000,66,'Submarine'
1550,312,27,17,20,11000,81,'Submarine'
1550,312,27,17,20,11000,81,'Submarine'
1550,312,27,17,20,11000,81,'Submarine'
1526,312,27,17,20,11000,80,'Submarine'
1550,312,27,17,20,11000,66,'Submarine'
1550,312,27,17,20,11000,81,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
1550,312,27,17,20,11000,81,'Submarine'
1550,312,27,17,20,11000,66,'Submarine'
1550,312,27,17,20,11000,80,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
1549,312,27,17,20,11000,60,'Submarine'
1550,312,27,16,20,11000,81,'Submarine'
1526,312,27,15,20,11000,60,'Submarine'
1526,312,27,17,20,11000,66,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
1549,312,27,17,20,11000,60,'Submarine'
1549,312,27,17,20,11000,60,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
1499,307,27,14,20,11000,60,'Submarine'
1549,312,27,17,20,11000,60,'Submarine'
769,220,20,15,17,15170,44,'Submarine'
1499,307,27,15,20,11000,59,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
1525,312,27,17,21,11000,70,'Submarine'
1526,312,27,15,20,11000,66,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
1550,312,27,17,20,11000,66,'Submarine'
1549,312,27,15,20,11000,60,'Submarine'
1526,312,27,15,20,11000,66,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
1550,312,27,17,20,11000,81,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
3661,373,39,19,17,21000,108,'Submarine'
5223,400,39,23,18,37500,157,'Submarine'
5223,400,39,23,18,37500,157,'Submarine'
5223,400,39,23,18,37500,157,'Submarine'
2095,356,31,17,18,21000,94,'Submarine'
1526,312,27,17,20,11000,80,'Submarine'
1550,312,27,17,20,11000,80,'Submarine'
1550,312,27,17,20,11000,81,'Submarine'
1550,312,27,17,20,11000,81,'Submarine'
810,239,22,13,14,7400,37,'Submarine'
1550,312,27,17,20,11000,66,'Submarine'
1550,312,27,17,20,11000,81,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
576,205,17,12,14,1500,39,'Submarine'
1550,312,27,17,20,11000,66,'Submarine'
1370,300,26,15,19,11000,50,'Submarine'
1370,301,25,15,19,11000,73,'Submarine'
1550,312,27,17,20,11000,81,'Submarine'
1526,312,27,15,20,11000,66,'Submarine'
1526,312,27,15,20,11000,66,'Submarine'
1526,312,27,15,20,11000,60,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
